-1	194.41935483871
-1	187.892086330935
-1	183.836227123416
-1	182.636363636364
-1	184.181946403385
-1	186.816881258941
-1	187.712026832774
-1	184.528968440886
78	181.957733395262
80	181.284127718649
80	180.949191685912
88	181.452061139416
81	183.320074871315
81	185.40227165168
88	190.63503649635
84	201.209553158706
90	224.501432664756
90	227.897033158813
82	95840.4255319152
76	100100
76	100100
90	100100
87	128700
-1	109865.853658537
-1	115500
-1	115500
-1	121743.243243244
-1	121743.243243244
-1	109865.853658537
94	104755.813953489
84	109865.853658537
84	121743.243243244
-1	115500
-1	115500
197	121743.243243244
197	115500
-1	104755.813953489
-1	115500
87	155327.586206897
87	166833.333333334
83	121743.243243244
88	100100
88	100100
-1	128700
-1	95840.4255319152
